"Дата";"Заражений";"Выздоровлений";"Смертей";"Смертей за день";"Заражений за день";"Выздоровлений за день";"Заражений за день";"Смертей за день"
13.01.2023;21846722;21267545;394309;47;5078;4271;5078;47
27.04.2020;87147;7346;793;50;6198;579;6198;50
07.06.2020;467673;226731;5859;134;8984;5343;8984;134
05.06.2022;18351851;17764261;379520;75;3786;3935;3786;75
23.12.2022;21750711;21149218;393277;57;7409;8275;7409;57
30.06.2022;18430239;17858217;381112;56;3106;3255;3106;56
15.05.2020;262843;58226;2418;113;10598;4696;10598;113
20.05.2020;308705;85392;2972;135;8764;9262;8764;135
19.06.2022;18398260;17822674;380463;62;3081;3279;3081;62
05.12.2022;21623268;21023627;392283;52;5667;4647;5667;52
11.07.2020;720547;497446;11205;188;6611;8378;6611;188
20.05.2021;4974908;4591770;117350;385;9232;9983;9232;385
30.07.2020;834499;629655;13802;129;5509;9322;5509;129
22.06.2021;5350919;4889450;130347;546;16715;11117;16715;546
24.05.2020;344481;113299;3541;153;8599;5363;8599;153
09.12.2022;21650659;21049420;392506;52;7465;5994;7465;52
23.06.2022;18409651;17836121;380711;68;3166;3517;3166;68
26.06.2022;18418881;17845513;380892;55;3004;2713;3004;55
11.05.2020;221344;39801;2009;94;11656;5495;11656;94
26.06.2021;5430753;4943986;132683;619;21665;14347;21665;619
03.08.2020;856264;653593;14207;79;5394;3420;5394;79
16.05.2021;4940245;4556073;115871;391;8554;8573;8554;391
07.07.2020;694230;463880;10494;198;6368;9551;6368;198
08.06.2021;5145843;4752085;124496;379;9977;8883;9977;379
17.08.2020;927745;736101;15740;55;4892;3133;4892;55
03.06.2021;5099182;4711982;122660;393;8933;9383;8933;393
23.06.2020;599705;356429;8359;153;7425;12013;7425;153
03.06.2020;432277;195957;5215;178;8536;8972;8536;178
19.12.2022;21722415;21115232;393050;50;6341;5564;6341;50
01.06.2022;18335514;17744984;379200;83;4151;5628;4151;83
18.07.2022;18494844;17911340;381916;35;4548;2531;4548;35
01.05.2020;114431;13220;1165;92;7933;1601;7933;92
12.03.2020;34;0;0;0;34;0;34;0
27.04.2022;18159600;17506859;375400;163;7705;11477;7705;163
16.04.2022;18064454;17359645;373267;240;11095;19006;11095;240
17.03.2020;114;5;0;0;23;0;23;0
17.03.2021;4418436;4024975;93364;427;8998;10755;8998;427
13.09.2020;1062811;876225;18578;94;5449;2690;5449;94
19.04.2021;4710690;4333598;105928;346;8589;6818;8589;346
02.10.2020;1194643;970296;21077;186;9412;6054;9412;186
27.03.2021;4510744;4130498;97404;387;8885;10337;8885;387
22.08.2020;951897;767477;16310;121;4921;6147;4921;121
09.04.2021;4623984;4248700;102247;402;9150;9662;9150;402
24.10.2020;1497167;1130818;25821;296;16521;11567;16521;296
11.05.2022;18241329;17619414;377248;98;4102;5043;4102;98
02.04.2022;17880038;16929332;369404;340;17949;44547;17949;340
04.04.2020;4731;333;43;9;582;52;582;9
13.09.2021;7158248;6402126;193468;719;18178;12469;18178;719
20.11.2020;2039926;1551414;35311;461;24318;24758;24318;461
09.11.2021;8873655;7619596;249215;1211;39160;32036;39160;1211
01.12.2020;2322056;1803467;40464;569;26402;24763;26402;569
13.09.2022;20157143;19144853;385530;101;44045;48187;44045;101
26.02.2022;16175023;13321314;350158;793;122995;181343;122995;793
11.08.2022;18796472;18089941;382954;52;25815;14221;25815;52
07.02.2022;12982023;10624954;336023;609;171905;55683;171905;609
03.09.2022;19681381;18710966;384624;92;51699;38380;51699;92
20.03.2022;17582692;16209942;364492;434;31035;74675;31035;434
21.08.2022;19117343;18284586;383560;64;39669;22236;39669;64
16.01.2022;10803534;9858615;321320;686;29230;22731;29230;686
01.10.2021;7535548;6692722;208142;887;24522;19955;24522;887
06.11.2020;1733440;1296124;29887;378;20582;16955;20582;378
22.10.2021;8168305;7117060;228453;1064;37141;25453;37141;1064
15.12.2020;2707945;2149610;47968;577;26689;24813;26689;577
02.09.2021;6956318;6218048;184812;798;18985;18669;18985;798
30.01.2021;3832080;3279964;72697;512;19032;24502;19032;512
15.07.2021;5882295;5278976;146069;791;25293;21493;25293;791
27.01.2021;3774672;3202483;71076;594;17741;27922;17741;594
10.10.2022;21218993;20439043;388295;96;15661;24819;15661;96
01.12.2021;9669718;8364932;276419;1226;32837;35679;32837;1226
20.11.2022;21536229;20943924;391454;59;5217;4443;5217;59
